x_star,y_star,u_star,v_star,p_star,bc_tag
1.66035,-0.136364,1.38843,-6.07418e-09,965.329,0
1.68454,-0.227273,1.19008,-8.67204e-09,965.039,0
1.53536,0.272727,1.05372,9.25423e-09,966.829,0
1.48295,0.5,1.77398e-31,2.86042e-29,967.458,3
1.48295,0.409091,0.495868,6.54654e-09,967.458,0
1.57165,0.409091,0.495868,6.52755e-09,966.393,0
1.59584,0.227273,1.19008,8.69324e-09,966.103,0
1.58778,0.318182,0.892562,9.13772e-09,966.2,0
1.66035,0.136364,1.38843,6.06592e-09,965.329,0
1.66035,-0.0454546,1.4876,-2.1745e-09,965.329,0
1.66035,0.0454545,1.4876,2.15624e-09,965.329,0
1.74905,-0.5,1.77398e-31,-2.85097e-29,964.264,3
1.74905,-0.409091,0.495868,-6.51244e-09,964.264,0
1.74905,-0.318182,0.892562,-9.09117e-09,964.264,0
1.74905,-0.227273,1.19008,-8.64774e-09,964.264,0
1.74905,-0.136364,1.38843,-6.0505e-09,964.264,0
1.66035,0.227273,1.19008,8.67271e-09,965.329,0
1.57165,0.5,1.77398e-31,2.85727e-29,966.393,3
1.66035,0.409091,0.495868,6.51957e-09,965.329,0
1.66035,0.318182,0.892562,9.11596e-09,965.329,0
1.74905,0.136364,1.38843,6.02342e-09,964.264,0
1.72486,0.227273,1.19008,8.64359e-09,964.555,0
1.74905,-0.0454546,1.4876,-2.16611e-09,964.264,0
1.74905,0.0454545,1.4876,2.14077e-09,964.264,0
1.83775,-0.0454546,1.4876,-2.15705e-09,963.2,0
1.83775,-0.5,1.77398e-31,-2.84783e-29,963.2,3
1.82162,-0.318182,0.892562,-9.05952e-09,963.394,0
1.84581,-0.409091,0.495868,-6.48595e-09,963.103,0
1.81355,-0.227273,1.19008,-8.6119e-09,963.49,0
1.87,-0.136364,1.38843,-5.98114e-09,962.813,0
1.87403,-0.272727,1.05372,-9.11203e-09,962.765,0
1.66035,0.5,1.77398e-31,2.85412e-29,965.329,3
1.76517,0.318182,0.892562,9.07936e-09,964.071,0
1.74905,0.409091,0.495868,6.51103e-09,964.264,0
1.82162,0.136364,1.38843,5.97668e-09,963.394,0
1.83775,0.227273,1.19008,8.56605e-09,963.2,0
1.83775,0.0454545,1.4876,2.11276e-09,963.2,0
1.90629,-0.0454546,1.4876,-2.14297e-09,962.378,0
1.92644,-0.5,1.77398e-31,-2.84468e-29,962.136,3
1.92644,-0.409091,0.495868,-6.45521e-09,962.136,0
1.92644,-0.318182,0.892562,-8.98013e-09,962.136,0
1.92644,-0.227273,1.19008,-8.50028e-09,962.136,0
1.94257,-0.136364,1.38843,-5.91905e-09,961.942,0
1.83775,0.318182,0.892562,9.03758e-09,963.2,0
1.74905,0.5,1.77398e-31,2.85097e-29,964.264,3
1.83775,0.409091,0.495868,6.47928e-09,963.2,0
1.83775,0.5,1.77398e-31,2.84783e-29,963.2,3
1.91032,0.318182,0.892562,8.97682e-09,962.329,0
1.89419,0.136364,1.38843,5.90962e-09,962.523,0
1.95063,0.227273,1.19008,8.41983e-09,961.845,0
1.92644,0.0454545,1.4876,2.06654e-09,962.136,0
1.97483,-0.0454546,1.4876,-2.1244e-09,961.555,0
2.01514,-0.5,1.77398e-31,-2.84153e-29,961.071,3
2.01514,-0.409091,0.495868,-6.41773e-09,961.071,0
1.99902,-0.318182,0.892562,-8.89314e-09,961.265,0
1.99095,-0.227273,1.19008,-8.40753e-09,961.362,0
