sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
290,C-base,wall,14.08,-0.35,0.0,0.0,,0.0,-1.0
291,C-base,wall,14.24,-0.35,0.0,0.0,,0.0,-1.0
292,C-base,wall,14.4,-0.35,0.0,0.0,,0.0,-1.0
293,C-base,wall,14.56,-0.35,0.0,0.0,,0.0,-1.0
294,C-base,wall,14.72,-0.35,0.0,0.0,,0.0,-1.0
295,C-base,wall,14.88,-0.35,0.0,0.0,,0.0,-1.0
296,C-base,wall,15.040000000000001,-0.35,0.0,0.0,,0.0,-1.0
297,C-base,wall,15.200000000000001,-0.35,0.0,0.0,,0.0,-1.0
298,C-base,wall,15.36,-0.35,0.0,0.0,,0.0,-1.0
299,C-base,wall,15.52,-0.35,0.0,0.0,,0.0,-1.0
300,C-base,wall,15.68,-0.35,0.0,0.0,,0.0,-1.0
301,C-base,wall,15.84,-0.35,0.0,0.0,,0.0,-1.0
302,C-base,wall,16.0,-0.35,0.0,0.0,,0.0,-1.0
303,C-base,outlet,16.0,-0.35,,,0.0,1.0,0.0
304,C-base,outlet,16.0,-0.34299999999999997,,,0.0,1.0,0.0
305,C-base,outlet,16.0,-0.33599999999999997,,,0.0,1.0,0.0
306,C-base,outlet,16.0,-0.32899999999999996,,,0.0,1.0,0.0
307,C-base,outlet,16.0,-0.32199999999999995,,,0.0,1.0,0.0
308,C-base,outlet,16.0,-0.315,,,0.0,1.0,0.0
309,C-base,outlet,16.0,-0.308,,,0.0,1.0,0.0
310,C-base,outlet,16.0,-0.301,,,0.0,1.0,0.0
311,C-base,outlet,16.0,-0.294,,,0.0,1.0,0.0
312,C-base,outlet,16.0,-0.287,,,0.0,1.0,0.0
313,C-base,outlet,16.0,-0.27999999999999997,,,0.0,1.0,0.0
314,C-base,outlet,16.0,-0.273,,,0.0,1.0,0.0
315,C-base,outlet,16.0,-0.266,,,0.0,1.0,0.0
316,C-base,outlet,16.0,-0.259,,,0.0,1.0,0.0
317,C-base,outlet,16.0,-0.252,,,0.0,1.0,0.0
318,C-base,outlet,16.0,-0.245,,,0.0,1.0,0.0
319,C-base,outlet,16.0,-0.238,,,0.0,1.0,0.0
320,C-base,outlet,16.0,-0.23099999999999998,,,0.0,1.0,0.0
321,C-base,outlet,16.0,-0.22399999999999998,,,0.0,1.0,0.0
322,C-base,outlet,16.0,-0.217,,,0.0,1.0,0.0
323,C-base,outlet,16.0,-0.21,,,0.0,1.0,0.0
324,C-base,outlet,16.0,-0.20299999999999999,,,0.0,1.0,0.0
325,C-base,outlet,16.0,-0.196,,,0.0,1.0,0.0
326,C-base,outlet,16.0,-0.189,,,0.0,1.0,0.0
