sample_id,case_id,boundary_type,x_star,y_star,u_bc,v_bc,p_bc,normal_x,normal_y
151,B-train-3__ip_blunted,wall,2.0,0.5,0.0,0.0,,0.0,1.0
152,B-train-3__ip_blunted,wall,2.04,0.5,0.0,0.0,,0.0,1.0
153,B-train-3__ip_blunted,wall,2.08,0.5,0.0,0.0,,0.0,1.0
154,B-train-3__ip_blunted,wall,2.12,0.5,0.0,0.0,,0.0,1.0
155,B-train-3__ip_blunted,wall,2.16,0.5,0.0,0.0,,0.0,1.0
156,B-train-3__ip_blunted,wall,2.2,0.5,0.0,0.0,,0.0,1.0
157,B-train-3__ip_blunted,wall,2.24,0.5,0.0,0.0,,0.0,1.0
158,B-train-3__ip_blunted,wall,2.2800000000000002,0.5,0.0,0.0,,0.0,1.0
159,B-train-3__ip_blunted,wall,2.32,0.5,0.0,0.0,,0.0,1.0
160,B-train-3__ip_blunted,wall,2.36,0.5,0.0,0.0,,0.0,1.0
161,B-train-3__ip_blunted,wall,2.4,0.5,0.0,0.0,,0.0,1.0
162,B-train-3__ip_blunted,wall,2.44,0.5,0.0,0.0,,0.0,1.0
163,B-train-3__ip_blunted,wall,2.48,0.5,0.0,0.0,,0.0,1.0
164,B-train-3__ip_blunted,wall,2.52,0.5,0.0,0.0,,0.0,1.0
165,B-train-3__ip_blunted,wall,2.56,0.5,0.0,0.0,,0.0,1.0
166,B-train-3__ip_blunted,wall,2.6,0.5,0.0,0.0,,0.0,1.0
167,B-train-3__ip_blunted,wall,2.64,0.5,0.0,0.0,,0.0,1.0
168,B-train-3__ip_blunted,wall,2.68,0.5,0.0,0.0,,0.0,1.0
169,B-train-3__ip_blunted,wall,2.72,0.5,0.0,0.0,,0.0,1.0
170,B-train-3__ip_blunted,wall,2.7600000000000002,0.5,0.0,0.0,,0.0,1.0
171,B-train-3__ip_blunted,wall,2.8000000000000003,0.5,0.0,0.0,,0.0,1.0
172,B-train-3__ip_blunted,wall,2.84,0.5,0.0,0.0,,0.0,1.0
173,B-train-3__ip_blunted,wall,2.88,0.5,0.0,0.0,,0.0,1.0
174,B-train-3__ip_blunted,wall,2.92,0.5,0.0,0.0,,0.0,1.0
175,B-train-3__ip_blunted,wall,2.96,0.5,0.0,0.0,,0.0,1.0
