x_star,y_star,u_star,v_star,p_star,bc_tag
0.228525,0.18346,1.27322,-0.0851437,230.568,0
0.0877902,0.299092,1.07508,-0.0920668,233.955,0
0.0668974,0.311289,1.05108,-0.0795858,234.668,0
0.137274,0.327775,0.974502,-0.0847063,233.149,0
0.112042,0.320739,1.00798,-0.0884818,233.672,0
0.0222025,0.323166,1.03017,-0.0361376,236.169,0
0,0.331098,1.00964,-1.73527e-32,237.139,1
0.202559,0.29205,1.05623,-0.0856657,231.571,0
0.18306,0.336398,0.922445,-0.0726925,232.173,0
0.221915,-0.5,1.10917e-31,-3.50114e-30,230.952,3
0.234356,-0.468903,0.214733,0.00377857,230.953,0
0.21972,-0.408635,0.580227,0.0279565,231.493,0
0.254169,-0.437244,0.405653,0.0123543,230.731,0
0.244962,-0.376709,0.725867,0.0392658,231.015,0
0.247988,-0.300688,1.01627,0.0692976,230.835,0
0.255746,-0.347,0.848666,0.0500512,230.798,0
0.267397,-0.270209,1.09974,0.0708497,230.424,0
0.239565,-0.108336,1.35294,0.0588295,230.119,0
0.246505,-0.00370862,1.39342,0.00216349,229.867,0
0.241245,-0.0398509,1.38563,0.0234158,229.936,0
0.24206,-0.0749812,1.37367,0.04249,229.998,0
0.274746,-0.224568,1.20662,0.0733429,230.16,0
0.280327,-0.190122,1.27032,0.0701182,229.968,0
0.267573,-0.146973,1.32754,0.0657406,229.971,0
0.2442,0.0903692,1.36664,-0.0497417,230.018,0
0.270091,0.0126189,1.40615,-0.00674306,229.668,0
0.269252,0.0482619,1.39833,-0.0254045,229.705,0
0.267573,0.119548,1.35512,-0.0571276,229.883,0
0.265256,0.171527,1.29619,-0.0720354,230.082,0
0.222215,0.275173,1.09624,-0.084345,231.151,0
0.230173,0.24735,1.16125,-0.0866073,230.884,0
0.247714,0.209438,1.23505,-0.0820395,230.456,0
0.0622675,0.338792,0.9728,-0.0675835,235.297,0
0.0419179,0.35019,0.941748,-0.0503978,236.148,0
0.163783,0.360366,0.840055,-0.0637516,232.718,0
0.0853498,0.34512,0.941341,-0.0733945,234.69,0
0.12953,0.356014,0.877268,-0.0704603,233.557,0
0,0.35869,0.91894,-1.46265e-32,237.933,1
0.247988,0.300688,1.01628,-0.0693033,230.828,0
0.209802,0.361356,0.810931,-0.0540707,231.699,0
0.22874,0.331061,0.920956,-0.0636623,231.263,0
0.267396,-0.5,1.05343e-31,-3.48912e-30,230.155,3
0.28058,-0.471173,0.190937,0.00249011,230.114,0
0.266093,-0.406788,0.569223,0.0228102,230.594,0
0.295798,-0.441615,0.367442,0.00851379,229.99,0
0.283598,-0.375775,0.713733,0.0325034,230.324,0
0.274463,-0.31616,0.956779,0.0565819,230.434,0
0.301663,-0.353825,0.803222,0.0371084,230.025,0
0.293451,-0.296537,1.01655,0.0568455,230.094,0
0.302322,-0.256633,1.12996,0.0618883,229.874,0
0.272608,-0.0943104,1.37677,0.0462951,229.758,0
0.27093,-0.0230242,1.40534,0.0122163,229.664,0
0.271769,-0.0586673,1.39575,0.0302808,229.697,0
0.308611,-0.203999,1.24771,0.0622809,229.653,0
0.313404,-0.17482,1.29889,0.0583446,229.519,0
0.302392,-0.138382,1.3465,0.0543307,229.554,0
0.302392,-0.101229,1.38296,0.0431292,229.475,0
0.311788,0.0102332,1.42673,-0.00455703,229.274,0
0.282233,0.0833034,1.38795,-0.0399467,229.64,0
0.296893,0.0470586,1.41198,-0.0220662,229.442,0
0.296826,0.19047,1.27137,-0.0650348,229.763,0
0.317226,0.114731,1.37571,-0.0443935,229.338,0
0.303228,0.15919,1.32035,-0.0587096,229.599,0
0.257556,0.239823,1.17511,-0.0782773,230.457,0
