sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1972,B-train-3,bend,section_bands_4,clean,3.36042,0.136364,,,155.229,0,0.3636359999999999,0,3.36042,0.136364,0.08,0,0,1
1975,B-train-3,bend,section_bands_4,clean,3.36042,0.181818,,,155.232,0,0.3181819999999999,0,3.36042,0.181818,0.08,0,0,1
1973,B-train-3,bend,section_bands_4,clean,3.36042,0.227273,,,155.234,0,0.272727,0,3.36042,0.227273,0.08,0,0,1
1969,B-train-3,bend,section_bands_4,clean,3.36042,0.409091,,,155.239,2,0.090909,0,3.36042,0.409091,0.08,0,0,1
1968,B-train-3,bend,section_bands_4,clean,3.36042,0.454545,,,155.239,2,0.045455,0,3.36042,0.454545,0.08,0,0,1
1970,B-train-3,bend,section_bands_4,clean,3.36662,0.363636,,,155.164,2,0.1363639999999999,0,3.36662,0.363636,0.08,0,0,1
1971,B-train-3,bend,section_bands_4,clean,3.36869,0.318182,,,155.138,0,0.1818179999999999,0,3.36869,0.318182,0.08,0,0,1
1977,B-train-3,bend,section_bands_4,clean,3.37076,0.0454545,,,155.1,0,0.4545455,0,3.37076,0.0454545,0.08,0,0,1
1974,B-train-3,bend,section_bands_4,clean,3.37076,0.272727,,,155.112,0,0.227273,0,3.37076,0.272727,0.08,0,0,1
1978,B-train-3,bend,section_bands_4,clean,3.37903,0.0909091,,,155.004,0,0.4090909,0,3.37903,0.0909091,0.08,0,0,1
2006,B-train-3,bend,section_bands_4,clean,3.3873,-0.0909091,,,154.894,0,0.4090909,0,3.3873,-0.0909091,0.08,0,0,1
2005,B-train-3,bend,section_bands_4,clean,3.38936,-0.136364,,,154.866,0,0.3636359999999999,0,3.38936,-0.136364,0.08,0,0,1
1976,B-train-3,bend,section_bands_4,clean,3.38936,0.204545,,,154.887,0,0.295455,0,3.38936,0.204545,0.08,0,0,1
2001,B-train-3,bend,section_bands_4,clean,3.39763,-0.318182,,,154.758,0,0.1818179999999999,0,3.39763,-0.318182,0.08,0,0,1
2013,B-train-3,bend,section_bands_4,clean,3.3997,-0.363636,,,154.731,2,0.1363639999999999,0,3.3997,-0.363636,0.08,0,0,1
2011,B-train-3,bend,section_bands_4,clean,3.40384,-0.454545,,,154.68,2,0.045455,0,3.40384,-0.454545,0.08,0,0,1
2014,B-train-3,bend,section_bands_4,clean,3.4059,-0.409091,,,154.655,2,0.090909,0,3.4059,-0.409091,0.08,0,0,1
2008,B-train-3,bend,section_bands_4,clean,3.4059,-0.272727,,,154.66,0,0.227273,0,3.4059,-0.272727,0.08,0,0,1
2009,B-train-3,bend,section_bands_4,clean,3.4059,-0.227273,,,154.662,0,0.272727,0,3.4059,-0.227273,0.08,0,0,1
2010,B-train-3,bend,section_bands_4,clean,3.4059,-0.181818,,,154.665,0,0.3181819999999999,0,3.4059,-0.181818,0.08,0,0,1
2007,B-train-3,bend,section_bands_4,clean,3.4059,-0.0454546,,,154.673,0,0.4545454,0,3.4059,-0.0454546,0.08,0,0,1
2003,B-train-3,bend,section_bands_4,clean,3.4059,-7.3108e-09,,,154.676,0,0.4999999926892,0,3.4059,-7.3108e-09,0.08,0,0,1
2004,B-train-3,bend,section_bands_4,clean,3.4059,0.0454545,,,154.679,0,0.4545455,0,3.4059,0.0454545,0.08,0,0,1
1998,B-train-3,bend,section_bands_4,clean,3.4059,0.136364,,,154.685,0,0.3636359999999999,0,3.4059,0.136364,0.08,0,0,1
1993,B-train-3,bend,section_bands_4,clean,3.4059,0.363636,,,154.696,2,0.1363639999999999,0,3.4059,0.363636,0.08,0,0,1
1992,B-train-3,bend,section_bands_4,clean,3.4059,0.454545,,,154.697,2,0.045455,0,3.4059,0.454545,0.08,0,0,1
1994,B-train-3,bend,section_bands_4,clean,3.41004,0.409091,,,154.648,2,0.090909,0,3.41004,0.409091,0.08,0,0,1
1995,B-train-3,bend,section_bands_4,clean,3.41417,0.318182,,,154.596,0,0.1818179999999999,0,3.41417,0.318182,0.08,0,0,1
1996,B-train-3,bend,section_bands_4,clean,3.41624,0.272727,,,154.569,0,0.227273,0,3.41624,0.272727,0.08,0,0,1
1999,B-train-3,bend,section_bands_4,clean,3.41831,0.227273,,,154.542,0,0.272727,0,3.41831,0.227273,0.08,0,0,1
2000,B-train-3,bend,section_bands_4,clean,3.42038,0.181818,,,154.515,0,0.3181819999999999,0,3.42038,0.181818,0.08,0,0,1
2002,B-train-3,bend,section_bands_4,clean,3.42451,0.0909091,,,154.459,0,0.4090909,0,3.42451,0.0909091,0.08,0,0,1
2032,B-train-3,bend,section_bands_4,clean,3.43485,-0.136364,,,154.319,0,0.3636359999999999,0,3.43485,-0.136364,0.08,0,0,1
2034,B-train-3,bend,section_bands_4,clean,3.43898,-0.227273,,,154.263,0,0.272727,0,3.43898,-0.227273,0.08,0,0,1
2015,B-train-3,bend,section_bands_4,clean,3.44105,-0.272727,,,154.236,0,0.227273,0,3.44105,-0.272727,0.08,0,0,1
2029,B-train-3,bend,section_bands_4,clean,3.44105,-0.0454546,,,154.251,0,0.4545454,0,3.44105,-0.0454546,0.08,0,0,1
2026,B-train-3,bend,section_bands_4,clean,3.44312,-0.318182,,,154.208,0,0.1818179999999999,0,3.44312,-0.318182,0.08,0,0,1
2036,B-train-3,bend,section_bands_4,clean,3.45139,-0.454545,,,154.104,2,0.045455,0,3.45139,-0.454545,0.08,0,0,1
2039,B-train-3,bend,section_bands_4,clean,3.45139,-0.409091,,,154.105,2,0.090909,0,3.45139,-0.409091,0.08,0,0,1
2038,B-train-3,bend,section_bands_4,clean,3.45139,-0.363636,,,154.106,2,0.1363639999999999,0,3.45139,-0.363636,0.08,0,0,1
2035,B-train-3,bend,section_bands_4,clean,3.45139,-0.181818,,,154.117,0,0.3181819999999999,0,3.45139,-0.181818,0.08,0,0,1
2033,B-train-3,bend,section_bands_4,clean,3.45139,-0.0909091,,,154.123,0,0.4090909,0,3.45139,-0.0909091,0.08,0,0,1
2031,B-train-3,bend,section_bands_4,clean,3.45139,-7.3108e-09,,,154.13,0,0.4999999926892,0,3.45139,-7.3108e-09,0.08,0,0,1
2030,B-train-3,bend,section_bands_4,clean,3.45139,0.0454545,,,154.134,0,0.4545455,0,3.45139,0.0454545,0.08,0,0,1
2024,B-train-3,bend,section_bands_4,clean,3.45139,0.136364,,,154.14,0,0.3636359999999999,0,3.45139,0.136364,0.08,0,0,1
2022,B-train-3,bend,section_bands_4,clean,3.45139,0.272727,,,154.15,0,0.227273,0,3.45139,0.272727,0.08,0,0,1
1997,B-train-3,bend,section_bands_4,clean,3.45139,0.318182,,,154.153,0,0.1818179999999999,0,3.45139,0.318182,0.08,0,0,1
2019,B-train-3,bend,section_bands_4,clean,3.45139,0.363636,,,154.155,2,0.1363639999999999,0,3.45139,0.363636,0.08,0,0,1
2018,B-train-3,bend,section_bands_4,clean,3.45346,0.454545,,,154.132,2,0.045455,0,3.45346,0.454545,0.08,0,0,1
