sample_id,case_id,family,sampling_tag,noise_tag,x_star,y_star,u_obs,v_obs,p_obs,region_id,wall_distance_star,segment_id_raw,xi_section_star,eta_section_star,section_width_star,u_obs_mask,v_obs_mask,p_obs_mask
1952,B-base,bend,section_bands_4,clean,3.36005,-0.272727,,,192.869,0,0.227273,0,3.36005,-0.272727,0.08,0,0,1
1956,B-base,bend,section_bands_4,clean,3.36005,-0.227273,,,192.87,0,0.272727,0,3.36005,-0.227273,0.08,0,0,1
1957,B-base,bend,section_bands_4,clean,3.36005,-0.136364,,,192.873,0,0.3636359999999999,0,3.36005,-0.136364,0.08,0,0,1
1967,B-base,bend,section_bands_4,clean,3.36005,0.227273,,,192.886,0,0.272727,0,3.36005,0.227273,0.08,0,0,1
1941,B-base,bend,section_bands_4,clean,3.36005,0.318182,,,192.888,0,0.1818179999999999,0,3.36005,0.318182,0.08,0,0,1
1937,B-base,bend,section_bands_4,clean,3.36005,0.409091,,,192.889,2,0.090909,0,3.36005,0.409091,0.08,0,0,1
1938,B-base,bend,section_bands_4,clean,3.36212,0.454545,,,192.864,2,0.045455,0,3.36212,0.454545,0.08,0,0,1
1939,B-base,bend,section_bands_4,clean,3.36625,0.363636,,,192.815,2,0.1363639999999999,0,3.36625,0.363636,0.08,0,0,1
1969,B-base,bend,section_bands_4,clean,3.36729,0.181818,,,192.798,0,0.3181819999999999,0,3.36729,0.181818,0.08,0,0,1
1970,B-base,bend,section_bands_4,clean,3.36832,0.136364,,,192.784,0,0.3636359999999999,0,3.36832,0.136364,0.08,0,0,1
1968,B-base,bend,section_bands_4,clean,3.37039,0.272727,,,192.763,0,0.227273,0,3.37039,0.272727,0.08,0,0,1
1953,B-base,bend,section_bands_4,clean,3.37246,-0.0227273,,,192.728,0,0.4772727,0,3.37246,-0.0227273,0.08,0,0,1
1971,B-base,bend,section_bands_4,clean,3.37866,0.0909091,,,192.658,0,0.4090909,0,3.37866,0.0909091,0.08,0,0,1
1950,B-base,bend,section_bands_4,clean,3.37969,-0.340909,,,192.631,0,0.1590909999999999,0,3.37969,-0.340909,0.08,0,0,1
1972,B-base,bend,section_bands_4,clean,3.38072,0.0454545,,,192.632,0,0.4545455,0,3.38072,0.0454545,0.08,0,0,1
1979,B-base,bend,section_bands_4,clean,3.38693,-0.0909091,,,192.552,0,0.4090909,0,3.38693,-0.0909091,0.08,0,0,1
1975,B-base,bend,section_bands_4,clean,3.39313,-0.227273,,,192.472,0,0.272727,0,3.39313,-0.227273,0.08,0,0,1
1976,B-base,bend,section_bands_4,clean,3.3952,-0.272727,,,192.446,0,0.227273,0,3.3952,-0.272727,0.08,0,0,1
1980,B-base,bend,section_bands_4,clean,3.39726,-0.136364,,,192.426,0,0.3636359999999999,0,3.39726,-0.136364,0.08,0,0,1
